Unnamed: 0,F_f,F_u,F_in,rho_u,T_o,tau_imp,h_bm
1625.0,7.0,94.78,150.63,1.07,2945.9,9.9,36.8
1626.0,7.1,96.24,,1.1,2831.5,110.2,36.5
1627.0,7.1,97.47,140.52,1.06,,9.5,37.0
1628.0,7.1,90.96,148.24,,2823.7,110.2,37.1
1629.0,7.1,91.15,147.75,1.1,3125.7,9.7,-65.5
1630.0,7.1,95.56,150.89,1.06,2871.7,,37.2
1631.0,7.5,91.97,133.54,1.09,3016.7,9.6,36.9
1632.0,7.5,91.67,,1.11,2655.34,9.7,37.4
1633.0,7.2,,149.7,1.05,3099.1,10.1,37.2
1634.0,7.0,-9.819999999999993,138.19,1.1,3093.1,-90.5,
1635.0,7.5,91.1,133.4,1.06,3042.8,9.9,37.2
1636.0,7.0,97.72,143.7,1.05,3147.7,10.1,36.5
1637.0,-99.0,94.25,141.28,1.07,3181.2,9.6,37.0
1638.0,7.5,90.78,130.79,1.09,3160.0,9.8,37.1
1639.0,7.4,99.27,142.3,1.09,3117.3,110.2,37.3
1640.0,7.3,94.21,140.66,1.09,3085.4,10.1,37.2
1641.0,7.1,98.38,146.37,1.07,3051.6,10.2,37.2
1642.0,7.0,92.95,149.11,1.08,3126.6,10.1,-65.5
1643.0,7.2,91.75,134.35,1.06,2879.3,9.9,37.0
1644.0,7.1,91.23,,1.08,2913.4,9.6,36.6
1645.0,7.4,97.69,143.46,1.1,3018.0,9.5,37.2
-10.329999999999998,7.5,98.56,30.430000000000007,1.06,3031.1,9.5,36.8
1647.0,-99.0,96.53,30.430000000000007,1.1,3072.1,9.7,37.0
1648.0,7.5,,130.15,101.11,3196.4,9.8,37.0
1649.0,7.0,95.24,135.18,1.08,3030.4,9.7,37.4
1650.0,7.1,95.44,145.88,,2814.5,9.6,37.0
1651.0,7.0,93.28,255.3056,1.06,2858.9,9.7,37.4
1652.0,7.2,98.84,139.84,1.1,2918.8,10.2,37.4
1653.0,7.3,93.14,130.53,1.08,2820.2,,37.1
1654.0,7.5,,146.22,1.09,2983.2,10.2,37.1
,7.3,96.72,140.84,1.08,2938.3,10.1,37.0
1656.0,,98.8,148.45,1.09,2739.5,9.9,36.7
1657.0,,199.91,133.29,1.09,2992.4,10.2,37.4
8609.33,7.4,95.33,144.85,1.08,2889.1,9.7,36.8
1659.0,7.1,199.91,136.95,1.1,2947.2,110.2,36.8
1660.0,7.5,90.84,140.94,1.07,2740.0,9.7,36.6
1661.0,7.3,99.37,133.53,1.06,2711.9,9.7,36.9
1662.0,7.0,94.22,130.62,1.1,2901.3,10.1,36.8
,7.3,94.24,145.14,1.09,2875.0,10.2,36.9
1664.0,7.5,94.39,140.26,1.05,2889.9,9.8,138.9
1665.0,7.1,93.72,,1.06,2973.4,9.5,37.1
,7.2,99.41,140.23,1.07,2887.9,10.1,37.2
1667.0,7.4,90.17,148.81,1.11,2819.3,9.8,
1668.0,7.4,96.38,142.56,1.07,2882.6,10.2,37.0
1669.0,7.1,94.59,30.430000000000007,1.11,,9.8,37.4
1670.0,7.0,94.97,147.24,1.1,2786.7,-90.5,37.4
1671.0,7.0,98.12,149.57,1.1,2735.3,10.2,36.7
1672.0,7.3,95.82,,1.07,2960.5,9.7,36.8
1673.0,,92.44,255.3056,1.07,2941.2,10.2,37.3
1674.0,7.5,90.22,143.54,1.11,2741.4,9.6,37.0
1675.0,7.3,-9.819999999999993,148.33,1.08,2725.6,9.5,37.4
1676.0,7.1,91.27,139.8,1.09,2865.9,9.5,36.9
1677.0,7.0,,30.430000000000007,1.1,2769.9,9.5,36.7
1678.0,7.5,93.2,150.33,1.06,2908.4,9.9,36.5
,7.0,91.41,30.430000000000007,1.06,2910.8,9.5,36.9
1680.0,-99.0,97.73,255.3056,,2915.5,9.5,37.0
1681.0,7.0,95.25,,1.07,2939.0,9.5,36.7
8609.33,7.2,91.2,138.39,1.05,2736.7,,37.2
1683.0,7.0,94.65,139.72,1.1,2737.3,9.7,36.7
-10.329999999999998,7.5,94.49,130.8,1.09,2862.0,10.2,
1685.0,7.1,98.11,148.37,1.07,2986.6,10.0,37.2
1686.0,7.3,92.65,255.3056,1.11,2929.5,10.0,36.9
1687.0,7.3,99.94,135.82,1.06,2859.5,10.2,36.6
1688.0,-99.0,99.91,135.15,1.07,2899.2,9.9,36.5
8609.33,7.5,94.63,146.63,1.06,2782.5,9.8,37.1
1690.0,7.1,96.6,140.69,1.08,2907.6,9.9,36.7
1691.0,7.1,99.28,148.49,1.11,2935.5,,36.5
1692.0,7.2,99.65,255.3056,1.05,2861.6,9.9,37.1
1693.0,7.0,97.79,141.83,1.07,2937.1,10.1,36.8
1694.0,7.2,97.99,133.68,1.11,3920.2799999999993,9.8,36.2
1695.0,7.1,90.47,,1.05,2748.8,9.8,36.5
1696.0,7.1,94.67,144.93,1.08,2967.2,9.8,36.9
1697.0,7.2,,136.12,1.11,2828.1,9.5,-65.5
1698.0,7.4,93.55,150.55,1.11,2753.4,9.8,36.0
1699.0,7.5,99.51,143.26,1.07,2808.8,10.2,36.7
,7.2,94.3,132.42,1.1,2846.0,10.2,36.3
-10.329999999999998,7.2,-9.819999999999993,140.84,1.05,2750.9,10.0,36.5
-10.329999999999998,7.2,93.9,144.33,,2896.0,9.7,36.3
1703.0,107.5,90.57,141.73,1.08,2901.8,-90.5,36.6
1704.0,7.0,-9.819999999999993,150.29,1.06,2736.1,10.2,36.4
1705.0,7.2,97.88,144.51,1.08,2907.4,9.5,36.7
1706.0,7.0,99.13,141.5,1.07,2967.8,9.8,36.3
1707.0,,98.29,148.35,1.05,2804.0,9.7,138.9
1708.0,7.3,95.6,137.38,-98.95,2814.7,9.6,36.2
8609.33,7.3,93.68,142.28,1.1,2735.1,10.2,36.6
1710.0,7.1,,149.25,1.11,2971.0,9.9,36.9
1711.0,7.3,92.9,150.33,1.1,2817.7,9.9,36.8
1712.0,7.0,96.98,131.86,1.1,2927.9,9.5,36.4
1713.0,7.5,95.34,,1.07,2767.5,9.5,138.9
1714.0,7.4,96.74,143.65,1.1,2969.4,9.7,36.0
1715.0,7.5,93.88,135.63,1.1,2844.8,9.5,36.1
1716.0,7.2,94.76,30.430000000000007,1.05,2760.9,9.5,36.3
1717.0,7.0,93.49,132.53,1.1,2992.7,,36.0
1718.0,7.3,,146.18,1.07,2832.3,9.8,36.2
1719.0,7.0,94.82,147.47,1.09,2741.8,10.1,138.9
1720.0,7.0,99.27,145.12,1.1,2952.2,10.1,36.3
1721.0,7.0,,135.66,1.05,2823.8,9.8,-65.5
1722.0,7.2,97.49,139.75,101.11,3001.9,9.8,36.5
1723.0,7.5,91.36,150.88,1.07,2655.34,9.7,36.1
1724.0,7.0,99.89,139.32,1.1,2805.3,9.8,36.1
1725.0,7.2,94.34,146.81,-98.95,,10.0,36.9
1726.0,7.3,97.26,148.68,1.1,2983.4,10.2,
1727.0,7.0,90.44,135.6,1.08,2978.1,9.7,36.3
1728.0,107.5,97.4,132.7,,2941.6,10.1,36.2
1729.0,7.3,97.1,149.59,1.07,2797.3,,36.2
1730.0,7.1,99.29,255.3056,1.06,2792.5,10.0,36.2
1731.0,7.0,91.95,135.43,1.11,2906.4,110.2,36.1
1732.0,7.2,,146.99,-98.95,2726.9,10.2,36.5
1733.0,7.3,96.9,138.72,1.11,2926.9,9.7,138.9
1734.0,7.2,95.86,148.66,1.07,2987.9,9.8,36.2
1735.0,107.5,93.7,139.88,1.1,2773.8,10.2,
1736.0,7.0,96.81,139.86,,2957.9,10.1,36.9
1737.0,7.1,97.22,132.18,1.06,2757.1,9.7,
1738.0,7.3,91.1,,1.09,2824.4,9.9,36.4
1739.0,7.3,92.88,134.57,1.05,2724.7,9.5,36.5
1740.0,7.5,199.91,134.91,1.06,2955.3,10.0,36.4
1741.0,7.4,98.13,148.78,1.11,2992.0,9.9,36.9
1742.0,7.3,95.8,144.98,,2753.9,9.6,36.8
1743.0,7.5,91.12,131.22,1.07,2915.0,9.8,36.2
1744.0,7.4,91.38,137.39,1.11,2714.9,10.2,36.9
1745.0,7.5,93.82,146.42,1.11,2882.6,9.7,36.1
1746.0,7.1,99.28,143.49,1.11,2830.1,10.2,36.0
1747.0,7.3,92.12,130.98,1.07,2946.1,9.7,36.2
1748.0,,92.15,136.69,1.05,2806.2,9.7,36.3
1749.0,7.5,92.16,139.21,1.08,2774.6,9.8,36.9
1750.0,7.2,99.91,148.22,1.1,2985.2,10.2,36.1
1751.0,7.3,95.63,147.1,1.08,2921.0,10.0,
1752.0,7.4,91.98,150.89,101.11,2958.2,9.6,36.9
1753.0,7.4,97.92,146.96,1.08,2856.7,,36.2
1754.0,7.3,96.73,142.4,1.06,2916.4,10.0,36.1
1755.0,7.2,93.57,150.55,1.05,2883.7,10.2,36.6
1756.0,7.3,94.81,138.19,1.11,2857.2,9.7,36.0
1757.0,7.1,95.69,135.15,1.08,2742.2,9.8,
,7.0,90.45,255.3056,1.06,3920.2799999999993,110.2,36.4
1759.0,107.5,91.16,136.79,1.09,2719.8,10.1,36.1
1760.0,7.1,92.23,136.89,101.11,2971.5,9.6,36.0
1761.0,7.4,91.3,143.5,1.1,2824.4,9.5,36.1
1762.0,7.2,91.61,131.41,1.06,2909.3,10.2,36.0
1763.0,7.4,99.3,,1.07,2833.3,9.7,36.3
1764.0,7.0,90.11,150.65,1.1,2756.0,9.6,36.6
,7.3,94.37,144.52,1.1,2960.5,9.7,36.2
1766.0,7.0,97.98,134.59,1.05,2815.8,10.2,36.6
1767.0,7.3,94.33,,1.05,2781.7,9.5,36.6
,7.1,90.55,133.5,1.09,2897.9,9.8,36.3
1769.0,7.0,95.8,141.43,1.11,2831.2,-90.5,36.2
1770.0,,96.63,150.73,1.08,2862.0,10.1,138.9
1771.0,7.5,94.86,148.6,1.1,2787.9,10.2,36.1
1772.0,7.3,91.24,148.29,1.11,2927.5,9.7,138.9
1773.0,7.0,90.45,139.45,1.07,2924.4,9.9,
1774.0,7.1,99.74,140.82,1.1,2994.0,,36.7
1775.0,7.3,98.77,140.24,1.06,2832.5,10.2,36.4
,7.3,94.25,145.21,1.08,2833.8,10.2,36.6
1777.0,7.3,97.81,149.96,1.05,2737.7,9.9,36.8
1778.0,7.2,99.71,140.18,-98.95,2913.8,10.0,36.9
1779.0,7.0,90.75,148.76,1.06,2865.6,,36.4
1780.0,7.3,93.35,140.18,1.08,2724.8,9.6,36.9
1781.0,7.1,94.28,140.78,1.11,2954.8,9.6,36.1
1782.0,7.0,99.79,143.95,1.05,2811.8,10.0,36.7
1783.0,7.3,90.13,133.14,1.06,2739.0,9.8,36.5
1784.0,7.4,97.4,,1.08,2935.2,9.8,36.7
,7.0,91.72,150.67,1.06,2895.6,9.6,36.7
1786.0,7.3,98.47,140.83,1.11,2750.5,10.0,
1787.0,107.5,92.64,149.97,1.05,2967.1,110.2,36.7
1788.0,7.1,92.54,131.25,1.1,2837.5,9.5,36.5
1789.0,7.3,95.23,255.3056,1.1,2857.4,10.1,36.6
1790.0,7.0,96.63,,1.06,2900.9,10.1,36.1
1791.0,7.0,93.45,131.79,1.05,,10.2,36.2
1792.0,7.5,91.33,137.23,1.08,2886.6,110.2,36.8
1793.0,7.2,97.69,148.92,1.06,2765.5,9.6,138.9
1794.0,7.1,96.46,144.26,1.05,2905.2,9.8,36.4
1795.0,7.4,92.8,148.74,1.07,2655.34,10.0,36.1
1796.0,7.1,98.18,133.38,1.05,2751.6,10.0,36.3
1797.0,7.2,90.79,140.63,,2823.4,10.1,36.2
1798.0,7.2,99.32,146.19,1.07,2754.8,10.1,36.8
1799.0,7.0,92.27,131.5,1.09,2789.3,10.0,36.1
1800.0,7.5,99.68,145.52,1.1,2802.3,10.1,138.9
1801.0,7.2,,131.3,1.08,3920.2799999999993,10.0,36.9
1802.0,107.5,91.87,133.69,1.08,2848.8,9.8,36.8
1803.0,7.4,95.78,135.97,1.11,2982.9,9.8,36.5
1804.0,7.3,-9.819999999999993,150.11,1.05,2996.4,110.2,36.7
1805.0,7.5,91.43,146.15,1.05,2894.4,10.2,36.4
1806.0,7.0,95.62,255.3056,1.06,2655.34,9.5,36.4
1807.0,7.5,91.33,144.5,1.07,2898.2,9.9,36.0
1808.0,-99.0,96.26,136.63,1.11,2806.4,10.1,36.8
1809.0,7.2,,144.49,1.09,2979.8,9.9,36.0
1810.0,-99.0,94.64,132.96,-98.95,2789.1,10.1,
1811.0,7.5,97.86,145.79,1.07,2655.34,9.6,36.9
-10.329999999999998,7.2,94.61,149.46,1.06,,110.2,36.0
1813.0,,-9.819999999999993,148.22,1.1,2818.9,10.2,36.7
,7.4,199.91,146.2,1.08,2779.5,9.9,36.1
1815.0,7.4,92.24,140.21,1.09,2768.3,10.2,36.0
1816.0,7.4,93.82,146.56,,2717.0,9.5,36.7
1817.0,7.3,96.24,131.38,1.11,2746.7,10.1,36.5
1818.0,7.5,94.35,138.28,-98.95,2947.6,9.8,36.3
8609.33,7.4,93.28,143.75,1.11,2836.1,9.5,36.1
1820.0,7.0,91.43,255.3056,1.08,2963.2,9.7,36.9
8609.33,7.3,95.94,145.56,1.09,2870.2,9.9,
1822.0,7.0,97.37,143.26,1.07,2863.7,10.1,36.9
1823.0,7.4,99.5,,1.06,2735.5,9.9,36.1
1824.0,7.1,93.92,138.43,1.08,2886.4,9.7,36.7
1825.0,7.3,98.84,136.97,1.06,2914.0,9.8,36.0
1826.0,7.3,97.38,148.22,1.07,2711.7,9.6,36.5
1827.0,7.0,98.44,141.54,1.11,2723.0,9.6,36.1
1828.0,7.3,90.21,145.83,1.08,2867.3,,36.4
1829.0,7.4,,147.87,1.08,2703.5,9.8,36.9
1830.0,7.3,96.93,142.63,1.05,2724.3,9.8,
1831.0,7.0,90.75,142.8,1.11,2786.5,10.0,36.6
1832.0,7.0,-9.819999999999993,139.88,1.11,2756.2,9.8,36.7
1833.0,7.4,90.1,147.46,1.07,2940.6,10.2,36.1
1834.0,7.0,95.7,,1.11,2855.0,9.5,36.3
1835.0,7.0,92.15,140.54,1.08,2889.0,9.9,36.4
1836.0,7.4,99.7,134.34,-98.95,2733.2,9.6,36.3
1837.0,7.5,90.37,146.88,1.1,,9.9,36.0
1838.0,7.3,93.53,132.31,1.11,2960.7,110.2,36.0
1839.0,7.4,98.6,145.43,1.11,2919.0,9.9,36.8
1840.0,-99.0,91.44,144.43,1.05,,9.7,36.9
1841.0,7.1,90.48,139.48,1.1,2780.6,9.7,36.9
1842.0,,97.49,133.86,1.05,2710.5,9.8,36.2
1843.0,7.0,90.37,,1.09,2831.9,9.6,36.2
1844.0,7.1,93.71,141.88,1.06,2748.0,9.8,36.6
1845.0,7.2,91.27,135.12,1.07,2823.7,9.8,36.5
1846.0,7.0,95.64,136.59,1.07,2959.8,10.2,36.1
1847.0,7.2,90.16,147.77,,2655.34,9.8,36.8
1848.0,7.2,91.81,131.76,101.11,,9.9,36.4
1849.0,7.1,90.4,143.91,1.1,2725.8,9.7,36.7
1850.0,7.1,91.38,146.29,1.07,2763.5,9.8,36.6
1851.0,7.4,99.57,138.13,1.08,2862.0,9.7,36.6
1852.0,7.0,96.66,30.430000000000007,1.05,2928.5,9.5,36.3
1853.0,7.5,98.31,136.81,1.06,2882.5,9.5,36.5
1854.0,7.3,90.23,140.82,1.08,2836.2,9.6,36.2
1855.0,7.0,90.18,135.12,1.05,2720.8,9.8,36.3
1856.0,7.3,91.66,30.430000000000007,1.06,2924.6,9.7,36.8
1857.0,7.4,92.56,130.51,1.05,2907.4,9.8,36.6
1858.0,7.1,93.1,131.97,,2711.3,10.1,36.5
1859.0,7.5,97.95,144.61,1.09,2817.5,10.2,36.8
1860.0,7.2,92.79,150.48,1.05,2840.3,9.8,36.1
1861.0,7.0,97.72,150.87,1.08,2735.2,9.9,36.3
1862.0,7.4,93.62,148.36,1.11,2655.34,9.9,36.6
,7.4,99.19,145.39,1.06,2908.7,10.0,36.9
1864.0,7.3,97.52,136.75,,2731.8,10.2,36.0
,7.3,93.15,138.74,1.09,2760.1,9.8,36.7
1866.0,107.5,97.47,148.55,1.07,2917.9,9.8,36.8
1867.0,7.2,92.59,146.31,1.11,2655.34,9.6,36.0
1868.0,7.3,96.31,30.430000000000007,1.08,2815.0,10.2,36.7
1869.0,-99.0,95.81,139.54,1.07,2781.0,9.8,36.3
1870.0,7.5,99.13,137.69,1.09,2796.9,9.6,36.9
1871.0,7.1,97.98,143.1,-98.95,2846.5,9.7,36.5
1872.0,,95.67,136.78,1.07,2887.0,10.2,36.5
1873.0,7.1,92.45,130.29,1.1,2911.2,10.2,36.1
,7.5,94.65,142.71,1.11,2809.2,10.2,36.8
1875.0,7.5,98.12,130.5,1.08,2862.7,9.7,
1876.0,7.3,94.34,139.67,1.08,2947.2,10.1,36.6
1877.0,,93.88,139.98,1.07,2754.7,9.8,36.2
1878.0,7.2,98.26,130.22,1.1,2908.4,10.2,36.3
8609.33,7.0,97.51,136.66,1.07,2787.0,9.7,36.3
1880.0,7.0,97.15,134.88,1.09,,9.6,36.7
1881.0,,90.69,132.77,1.07,2778.1,9.6,36.4
1882.0,7.4,99.26,143.18,1.06,2755.9,9.8,36.5
1883.0,1.4,99.45,132.19,1.08,3043.5,9.9,36.8
1884.0,1.1,94.19,138.54,1.09,,110.2,37.2
1885.0,1.4,91.88,142.83,1.05,,10.2,-65.5
1886.0,1.1,93.44,149.43,1.1,3060.0,9.5,37.1
1887.0,1.5,97.62,143.28,1.11,3053.2,10.1,37.0
1888.0,1.4,91.56,148.31,-98.95,3000.0,10.0,36.9
1889.0,1.2,98.67,140.86,1.07,3012.2,9.6,37.4
1890.0,-99.0,91.24,145.73,1.06,3066.8,10.0,36.9
1891.0,1.2,97.83,147.9,1.06,3006.5,9.8,36.6
,1.1,93.31,143.28,1.11,3058.8,9.6,36.6
1893.0,1.5,92.72,143.74,1.05,,9.5,-65.5
1894.0,,90.85,147.64,1.11,3021.1,9.6,37.2
1895.0,1.1,-9.819999999999993,144.22,1.1,3064.2,9.8,36.8
1896.0,,199.91,130.45,1.05,3255.1,9.7,36.5
1897.0,1.1,,142.78,1.07,3220.1,9.6,-65.5
1898.0,1.5,98.14,145.15,1.05,3100.7,9.8,37.2
1899.0,1.4,98.47,131.78,1.05,3305.3,10.0,37.3
1900.0,1.3,92.72,146.58,1.11,3292.9,10.2,36.7
1901.0,1.1,,135.65,1.09,3091.3,9.9,36.6
1902.0,1.3,97.62,132.28,1.08,3235.9,10.1,36.8
1903.0,1.5,91.48,150.42,1.1,3243.0,9.9,36.9
1904.0,1.3,98.34,137.18,,3162.3,10.1,37.1
1905.0,1.1,98.72,140.83,1.08,3254.8,10.1,36.9
1906.0,1.2,99.87,148.89,101.11,3147.3,9.6,37.3
1907.0,1.5,99.37,133.96,1.09,3144.1,10.0,37.4
,1.0,97.59,135.67,1.1,3298.4,9.9,37.0
8609.33,1.3,99.97,136.34,1.07,3266.5,9.6,37.3
1910.0,1.5,97.44,147.22,1.08,3164.1,9.8,37.2
1911.0,1.3,92.56,255.3056,1.05,3224.3,9.9,
1912.0,1.4,93.72,149.1,1.09,3268.0,9.8,36.6
1913.0,1.2,99.23,143.1,1.1,3262.1,10.2,
1914.0,1.1,92.74,147.15,1.06,3173.9,10.1,36.9
1915.0,1.3,92.56,130.36,1.09,3084.6,-90.5,36.6
1916.0,1.2,94.96,136.17,1.11,3022.2,9.8,36.7
-10.329999999999998,1.0,91.8,135.43,1.05,,9.9,36.7
1918.0,1.0,-9.819999999999993,130.64,1.11,3308.4,9.6,37.0
1919.0,1.1,99.52,148.9,1.05,3209.8,9.7,36.6
,1.4,92.53,139.58,1.1,3185.1,9.8,37.3
1921.0,1.5,95.65,148.39,1.1,3279.7,9.9,37.4
1922.0,-99.0,94.11,130.29,1.06,3112.4,,37.2
1923.0,1.4,93.35,144.67,1.11,3263.2,10.0,36.8
1924.0,1.0,93.44,137.28,1.11,3298.3,9.6,37.0
1925.0,1.5,95.99,134.65,1.11,3080.3,10.2,
1926.0,107.5,93.82,136.68,1.06,3178.9,10.2,138.9
1927.0,1.0,98.59,133.94,1.06,3055.2,10.2,37.0
1928.0,1.0,98.42,135.33,1.07,,9.7,36.7
1929.0,1.2,93.41,144.79,1.08,3283.1,10.0,37.1
1930.0,1.3,91.56,141.97,-98.95,3085.0,10.1,37.4
1931.0,1.5,98.89,142.19,,3197.6,-90.5,36.7
1932.0,1.5,97.99,134.48,1.11,3084.8,110.2,36.5
1933.0,1.0,91.55,133.35,1.09,2655.34,9.9,36.6
1934.0,1.1,98.82,142.35,1.07,,10.1,37.2
1935.0,1.3,99.13,255.3056,1.07,3283.2,9.6,37.4
1936.0,1.4,90.87,132.82,1.07,2655.34,9.5,36.6
1937.0,1.1,93.26,139.38,,3190.4,10.1,37.2
1938.0,1.2,92.61,146.6,1.07,3203.2,9.9,37.4
1939.0,1.2,97.97,30.430000000000007,1.06,3271.9,,36.9
1940.0,1.4,99.88,136.17,1.09,3144.7,9.6,-65.5
-10.329999999999998,1.5,94.57,132.68,1.09,3234.4,9.8,36.6
1942.0,1.3,93.61,143.21,1.07,3172.5,9.9,37.2
1943.0,1.4,99.55,149.21,1.06,3149.3,9.6,37.1
1944.0,1.1,97.16,137.12,1.07,3021.1,10.0,36.9
1945.0,1.0,,143.69,1.11,3115.7,-90.5,37.1
1946.0,1.0,96.87,148.36,101.11,3219.3,9.8,36.6
1947.0,1.0,91.81,137.75,1.06,3088.5,10.2,37.4
1948.0,1.3,93.4,131.66,1.07,,9.7,37.4
1949.0,1.4,99.63,137.96,1.07,3291.9,10.0,37.6
1950.0,1.5,95.65,139.86,1.05,3018.0,10.2,37.1
1951.0,1.1,98.42,140.56,1.05,3202.5,9.7,37.0
1952.0,1.5,96.19,130.74,1.06,3041.6,9.7,37.2
8609.33,1.1,92.3,140.39,101.11,3009.8,9.9,-65.5
1954.0,1.0,94.21,145.66,1.11,,9.5,37.9
1955.0,1.3,-9.819999999999993,147.31,1.09,3920.2799999999993,10.1,37.2
1956.0,1.3,94.84,140.24,1.07,3442.4,9.6,37.0
1957.0,1.0,90.41,30.430000000000007,1.1,3311.9,,37.2
1958.0,1.4,92.67,138.99,1.09,3439.6,9.5,37.6
1959.0,1.2,92.14,,1.05,3428.4,10.0,138.9
1960.0,1.1,91.67,139.37,1.1,3491.9,10.2,37.5
1961.0,1.1,199.91,140.72,1.1,,9.7,-65.5
1962.0,1.2,91.98,140.52,1.1,3225.1,,37.6
1963.0,1.0,93.64,149.59,1.07,3441.6,-90.5,37.0
1964.0,1.3,93.95,142.25,,3383.6,9.6,37.9
1965.0,1.0,96.65,134.41,1.1,3520.1,10.0,37.1
,1.1,92.45,147.45,1.09,3206.1,9.6,37.1
1967.0,107.5,98.27,146.64,1.1,3202.3,10.2,37.6
1968.0,1.5,99.92,145.9,1.11,3501.3,9.5,37.8
1969.0,1.4,98.63,133.83,1.11,3504.6,9.8,37.7
1970.0,1.2,98.91,131.52,1.05,3249.9,9.6,37.6
1971.0,1.2,91.57,,1.09,2655.34,9.6,37.2
1972.0,1.5,92.45,130.65,-98.95,3571.7,10.0,37.0
1973.0,1.1,95.24,142.55,1.11,3467.2,10.1,37.3
1974.0,1.5,99.44,139.59,1.06,3448.0,9.6,37.5
1975.0,1.5,95.6,141.78,101.11,3920.2799999999993,10.1,37.5
1976.0,1.2,91.2,130.56,1.06,3271.0,9.5,37.5
1977.0,1.1,,148.48,1.07,3551.7,9.7,-65.5
1978.0,1.3,97.74,138.67,,3272.8,10.2,37.7
1979.0,1.5,92.13,255.3056,1.1,3328.4,9.6,37.9
1980.0,1.4,90.13,141.91,1.11,3278.2,9.8,37.8
1981.0,1.3,99.66,135.41,1.1,3315.3,9.5,37.5
1982.0,1.2,93.12,30.430000000000007,1.07,3488.9,9.6,37.3
1983.0,1.2,96.58,132.59,1.08,3227.9,10.0,37.2
,1.0,93.68,148.45,1.1,3555.7,9.8,37.9
1985.0,1.3,95.19,30.430000000000007,1.1,3565.0,10.2,37.2
1986.0,1.3,92.4,132.99,1.06,3542.4,9.6,37.1
1987.0,1.0,-9.819999999999993,132.59,,3355.9,9.7,37.7
1988.0,1.5,92.96,146.48,1.06,2655.34,10.2,37.3
1989.0,1.3,90.45,137.31,,3378.7,9.7,37.9
1990.0,1.0,92.72,136.94,1.08,3467.0,9.8,37.3
1991.0,1.0,98.44,138.32,1.07,3920.2799999999993,9.9,37.3
1992.0,1.2,95.86,131.41,1.07,3265.9,9.6,37.5
1993.0,1.4,95.24,130.71,1.05,,9.6,37.4
-10.329999999999998,1.3,92.29,138.47,1.08,,9.9,37.0
1995.0,1.1,97.61,133.81,1.11,,9.5,37.7
1996.0,1.1,93.42,140.41,1.1,3549.6,,37.8
1997.0,1.1,95.28,131.81,101.11,3920.2799999999993,9.8,37.3
1998.0,1.5,91.52,,1.1,3576.0,9.9,-65.5
1999.0,1.2,92.43,30.430000000000007,1.05,3345.0,9.9,37.6
2000.0,1.1,,135.8,1.08,3881.5,9.9,37.3
2001.0,1.2,96.25,141.88,1.11,3750.5,9.7,37.5
2002.0,1.0,91.61,143.25,1.1,3359.9,9.6,37.8
2003.0,,99.94,140.86,1.09,3637.3,9.8,37.2
2004.0,1.4,95.64,135.85,101.11,3351.7,10.0,37.2
2005.0,1.5,93.57,146.61,,3491.8,10.2,37.9
-10.329999999999998,1.5,97.9,143.18,,3658.5,9.7,37.7
-10.329999999999998,1.3,96.87,133.77,1.11,3303.9,9.9,37.1
2008.0,1.1,96.4,144.16,,3515.7,10.1,37.7
2009.0,1.4,90.26,138.5,1.06,3641.1,9.5,37.8
2010.0,1.0,96.12,134.93,1.05,3497.7,,37.3
2011.0,1.4,96.69,130.72,1.08,3313.4,10.0,37.5
2012.0,1.2,97.8,141.85,1.09,3566.8,10.1,-65.5
2013.0,1.4,90.56,,1.07,3323.3,9.5,37.3
2014.0,1.1,97.33,135.5,1.06,3669.5,10.1,138.9
2015.0,1.3,96.58,143.92,1.09,3355.1,10.2,37.3
2016.0,1.2,99.19,139.65,1.06,3596.7,9.7,37.7
2017.0,1.0,90.1,145.84,1.1,3582.1,10.1,37.6
,1.4,92.44,147.59,1.05,3700.7,10.1,37.2
2019.0,1.4,90.21,139.43,1.11,3695.5,10.0,37.8
2020.0,-99.0,99.65,132.12,1.05,3731.0,10.0,37.1
2021.0,1.2,98.36,132.41,1.05,3787.5,9.5,37.7
2022.0,1.4,99.43,147.5,1.11,3900.7,9.6,37.5
2023.0,1.4,90.16,134.99,1.11,3332.4,9.6,
2024.0,1.4,90.9,134.11,1.05,3380.8,10.2,37.4
2025.0,1.1,94.6,130.86,,3790.8,9.9,37.5
2026.0,1.5,95.27,30.430000000000007,1.11,3447.2,10.0,37.0
2027.0,1.4,-9.819999999999993,133.99,1.06,3405.7,10.1,37.5
8609.33,1.2,98.6,134.93,1.1,3621.7,9.9,-65.5
,1.2,90.75,137.41,1.09,3650.4,110.2,37.9
2030.0,107.5,93.65,133.63,1.11,3369.0,,37.8
2031.0,1.2,93.61,150.96,1.1,3398.9,9.9,37.0
2032.0,1.1,92.73,136.97,1.11,3548.1,9.8,37.2
2033.0,1.1,90.18,140.51,1.07,,9.9,37.8
2034.0,1.1,93.71,140.34,1.1,3344.7,10.1,37.3
2035.0,1.0,97.85,132.25,1.11,3659.7,9.7,37.1
2036.0,1.2,98.28,149.34,1.1,3622.8,10.1,37.4
-10.329999999999998,1.5,97.19,149.83,1.08,,10.0,-65.5
,1.4,199.91,142.7,1.1,3905.9,9.7,37.4
2039.0,1.2,93.63,140.53,1.1,3625.1,9.9,37.6
2040.0,1.5,93.34,149.32,1.08,,9.9,37.2
2041.0,,94.52,136.9,1.11,3824.5,10.2,37.5
2042.0,1.2,94.32,148.31,1.05,3768.8,10.2,37.7
