,F_f,F_u,F_in,rho_u,T_o,tau_imp,h_bm
1327,1.5,96.89,143.19,1.05,3384.8,10.2,38.2
1328,1.3,90.5,147.67,1.07,3388.4,9.7,38
1329,1.1,97.93,138.95,1.11,3381.1,10,38.7
1330,1.5,98.24,145.44,1.11,3381.1,9.6,38.1
1331,1.2,95.48,150.28,1.07,3492.3,10.1,38.3
1332,1.4,98.48,144.91,1.09,3706.7,10.2,38.1
1333,1.1,94.13,146.5,1.09,3454.8,9.9,38.3
1334,1,96.95,141.47,1.08,3356.3,9.5,38.9
1335,1,92.78,135.97,1.11,3648.8,9.6,38.7
1336,1.3,94.42,146.81,1.09,3718.6,9.8,38.6
1337,1,93.59,137.72,1.09,3605.1,10,38.6
1338,1,96.41,142.24,1.06,3768.1,10.1,38.8
1339,1.1,90.76,133.96,1.1,3540.7,9.6,38.6
1340,1.5,90.2,131.2,1.11,3682.7,9.7,38.3
1341,1.4,94.83,149.42,1.1,3427.9,9.8,38.1
1342,1.2,92.13,150.57,1.1,3437.4,10,38.2
1343,1.5,97.4,131.39,1.1,3800.6,10.1,38.7
1344,1.1,98.46,137.6,1.1,3801.2,9.9,38.1
1345,1.2,99.77,150.19,1.06,3388.4,9.6,38.7
1346,1.4,93.55,136.61,1.07,3695,10.1,38.8
1347,1,97.81,133.59,1.06,3607.7,10,38.6
1348,1.5,91.63,143.65,1.05,3483.3,9.9,38.1
1349,1.2,99.34,131.78,1.07,3589.7,9.9,38.9
1350,1.3,95.8,131.51,1.08,3422,9.8,38.4
1351,1.2,96.25,135.37,1.06,3661,10.1,38.6
1352,1.5,96.21,145.51,1.08,3315.7,10,38.1
1353,1.4,92.62,140.95,1.11,3661.6,10.1,38.2
1354,1.4,99.5,132.97,1.06,3660,10.1,38.1
1355,1.2,99.97,130.8,1.07,3507.6,10.2,38.4
1356,1.1,91.91,148.56,1.1,3357.4,9.7,38.4
1357,1,94.19,131.34,1.11,3539.5,9.8,38.8
1358,1.3,98.41,134.96,1.05,3558.4,9.9,38.4
1359,1.5,95.64,134.54,1.07,3534.4,9.5,38.1
1360,1.4,91.64,135.94,1.08,3483.3,9.9,38.9
1361,1.4,91.67,144.67,1.1,3653.4,9.7,38.4
1362,1.2,98.16,130.96,1.1,3734.7,10,38.6
1363,1.1,94.21,133.65,1.09,3617.6,9.8,38.3
1364,1.4,97.83,131.53,1.09,3460.4,9.5,38.8
1365,1.5,92.54,131.73,1.05,3725.7,9.6,38.1
1366,1.5,96.75,131.4,1.09,3448.9,10,38.5
1367,1.2,97.52,136.92,1.06,3753.4,10,38.3
1368,1.2,99.59,133.41,1.06,3396.4,10.1,38.4
1369,1.4,92.3,136.13,1.05,3576.1,10.1,38
1370,1.4,99.94,137.58,1.1,3726.3,9.8,38.8
1371,1.1,91.99,142.41,1.1,3561.2,10.1,38
1372,1.5,98.88,149.74,1.07,3660.9,9.6,38.7
1373,1.5,96.14,142.24,1.09,3446,10,38.1
1374,1.4,98.33,131.35,1.08,3382.2,10.1,38.6
1375,1,90.24,139.25,1.05,3400.8,9.8,38.4
1376,1.4,91.41,145.43,1.09,3504.4,9.7,38.4
1377,1.3,92.36,148.5,1.05,3654.2,10,38.7
1378,1.3,92.49,132.37,1.06,3435.9,9.9,38.4
1379,1.3,95.48,134.22,1.11,3497.7,9.6,38.5
1380,1.2,95.14,145.78,1.08,3506.9,9.5,38.4
1381,1.5,99.63,133.14,1.06,3522.7,10,38.3
1382,1,94.31,150.44,1.07,3321,10.2,38.2
1383,1.1,97.49,138.93,1.05,3436.7,10,38.6
1384,1.3,95.16,136.15,1.05,3426.8,9.8,38.4
1385,1.3,90.72,136.37,1.06,3503.8,9.8,38.5
1386,1.2,97.94,148.56,1.1,3317.3,10,38.6
1387,1.2,96.17,130.6,1.05,3783.4,10,38.9
1388,1.3,95.51,138.64,1.06,3375.8,9.5,38.1
1389,1.3,97.23,132.38,1.1,3645.5,9.8,38.8
1390,1.4,97.64,135.81,1.09,3491.1,10.2,38.7
1391,1.2,94.12,137.49,1.08,3603.4,9.5,38.7
1392,1.4,96.67,141.63,1.1,3512.5,9.7,38.3
1393,1.1,97.87,143.3,1.08,3449.5,9.7,38.7
1394,1.5,97.48,130.45,1.05,3518.2,10.2,38.5
1395,1.4,95.33,148.4,1.09,3776.5,9.6,38.7
1396,1,91.27,140.57,1.08,3630.9,9.6,38.5
1397,1.2,95.53,140.48,1.07,3588.5,9.7,38.9
1398,1.4,97.24,143.37,1.11,3618.1,9.6,38.2
1399,1.1,96.68,148.77,1.05,3690.3,10.2,38.5
1400,1.4,95.58,132.41,1.05,3546,9.6,38.9
1401,1.2,97.42,138.79,1.07,3439.9,10.1,38.6
1402,1.5,96.54,147.28,1.06,3581.6,10,38.9
1403,1.5,99.93,149.18,1.09,3632.2,9.6,38.6
1404,1.4,98.89,144.12,1.08,3515.1,10.1,38
1405,1.5,92.66,142.27,1.07,3564.7,9.8,38.1
1406,1,95.13,140.95,1.08,3607.7,9.7,38.6
1407,1.4,91.95,135.9,1.09,3396,10.1,38.3
1408,1.2,91.93,147.82,1.05,3303.2,9.6,38.4
1409,1.5,95.46,142.95,1.05,3459.6,10.1,38.6
1410,1.1,97.89,130.35,1.06,3506.9,9.6,38.9
1411,1,92.27,150.82,1.1,3692.2,10.2,38.9
1412,1,92.32,142.22,1.09,3654.6,9.6,38.6
1413,1.5,91.79,134.33,1.07,3582,10.1,38.9
1414,1.1,93.94,146.39,1.11,3764.2,9.9,38
1415,1,93.92,140.66,1.1,3410,10.1,38.4
1416,1.5,90.94,134.64,1.06,3415.6,9.5,38.5
1417,1.4,97.12,139.35,1.05,3699.5,9.9,38.7
1418,1.2,95.13,131.42,1.11,3684,9.6,38
1419,1.1,94.13,144.42,1.09,3411,10.1,38.7
1420,1.5,96.58,142.57,1.07,3638.3,9.6,38.1
1421,1.4,95.51,135.33,1.05,3502.4,9.6,38.9
1422,1.2,99.74,143.18,1.07,3355.5,9.8,38.6
1423,1.1,96.15,138.88,1.06,3552.9,9.5,38.6
1424,1,91.88,132.99,1.1,3579.2,9.8,38.8
1425,1.1,98.77,140.16,1.11,3701.8,10.1,38.7
1426,1.5,99.56,136.5,1.1,3701.3,9.8,38
1427,1.2,94.75,150.79,1.11,3317.9,10,38.6
1428,1.4,94.43,132.81,1.08,3718.5,10.1,38.6
1429,1.5,97.87,137.49,1.05,3734.9,9.9,38.3
1430,1.4,93.95,131.97,1.11,3715.2,10.2,38.5
1431,1,91.52,139.8,1.06,3591.9,9.8,38.2
1432,1.3,92.96,150.71,1.1,3455.3,10.1,38.6
1433,1.1,97.82,146.2,1.06,3739.8,9.9,38.6
1434,1.3,93.67,146.89,1.08,3564.1,9.8,38.7
1435,1.5,93.27,132.92,1.07,3360.2,9.8,38.4
1436,1.1,95.42,149.81,1.07,3674.7,9.8,38.7
1437,1.3,90.76,141.47,1.06,3588.4,9.8,38
1438,1,91.41,137.78,1.1,3665.4,10.2,38
1439,1.2,96.94,143.93,1.1,3698.8,10.2,38.8
1440,1.2,95.61,139.39,1.06,3453.2,9.6,38.6
1441,1.5,94.82,134.36,1.05,3458.9,10,38.2
1442,1,92.58,148.56,1.08,3379.4,10.2,38.6
1443,1.3,98.54,131.78,1.06,3745.3,9.6,38.5
1444,1.4,92.1,149.88,1.09,3551.3,9.8,38.4
1445,1.4,96.67,134.56,1.11,3660.6,9.6,38.8
1446,1,96.18,130.67,1.06,3512.5,9.7,38.7
1447,1.4,91.55,141.3,1.11,3740.6,9.5,38.8
1448,1.5,97.91,149.65,1.06,3592.9,9.8,38.4
1449,1.2,99.82,148.28,1.09,3562.2,10,38.7
1450,1.2,94.28,134.28,1.08,3751,10.1,38
1451,1.2,96.5,150.92,1.06,3571.4,9.7,38.3
1452,1.4,96.97,146.15,1.1,3663.8,9.9,38.2
1453,1.2,99.58,132.61,1.07,3438.6,9.7,38.3
1454,1,94.14,142.31,1.05,3664.2,9.9,38.4
1455,1.2,93.81,137.2,1.08,3575.9,9.5,38
1456,1.3,94.9,146.73,1.1,3389.7,9.8,38.1
1457,1.1,98.86,146.74,1.1,3629.7,9.7,38.2
1458,1.4,90.73,143.34,1.08,3443.8,9.9,38.6
1459,1.5,93.33,136.89,1.1,3388.6,9.9,38.2
1460,1.3,96.73,131.27,1.06,3551.6,10.2,38.6
1461,1.1,96.86,132.95,1.06,3327,9.8,38.3
1462,1,98.77,138.74,1.05,3380,9.5,38.1
1463,1.3,91.86,149.36,1.08,3672.7,9.6,38.1
1464,1.2,96.82,149.86,1.09,3469.5,9.9,38.6
1465,1.3,95.19,134.37,1.1,3445.9,9.5,38.9
1466,1.2,99.12,150.97,1.05,3689.8,9.8,38.8
1467,1.4,93.46,134.19,1.07,3468.4,9.7,38.7
1468,1.4,94.92,131.92,1.09,3397.9,10,38.2
1469,1.5,93.53,145.42,1.08,3407.8,10.1,38.6
1470,1.3,99.28,140.94,1.07,3649.9,9.9,38
1471,1.4,96.54,133.8,1.11,3373.9,10.1,38.3
1472,1.1,91.32,135.42,1.09,3701.5,9.8,38.6
1473,1.5,97.24,137.26,1.11,3673.9,9.6,38.1
1474,1,90.12,137.25,1.1,3310.2,10,38.1
1475,1.4,90.22,134.34,1.11,3749.4,9.6,38.7
1476,1,97.1,145.15,1.11,3616.7,9.7,38.4
1477,1.1,96.45,143.5,1.06,3436,9.6,38.4
1478,1.1,92.56,142.15,1.08,3395.6,9.5,38.5
1479,1.4,90.92,135.49,1.05,3712.3,9.8,38.9
1480,1.2,90.68,139.52,1.05,3641.8,10,38.6
1481,1.3,93.97,142.51,1.1,3307.3,9.6,38
1482,1.5,91.28,142.58,1.05,3792.3,9.5,38.3
1483,1.2,95.77,141.73,1.06,3363.9,10,38.8
1484,1.4,93.94,142.36,1.05,3782.2,9.8,38.4
1485,1.1,97.29,132.59,1.05,3311.2,9.6,38.6
1486,1.1,94.8,147.52,1.09,3699.3,9.6,38.8
1487,1,95.3,148.38,1.09,3761.2,10.1,38.3
1488,1,97.86,143.24,1.08,3790.7,9.5,38.9
1489,1.5,95.62,139.17,1.1,3643.9,9.6,38.7
1490,1.2,92.78,139.94,1.07,3504.7,10,38
1491,1.3,96.93,131.72,1.08,3413.1,9.9,38
1492,1.4,91.15,149.85,1.08,3309.9,9.9,38
1493,1.3,96.95,148.79,1.09,3728.4,9.7,38.9
1494,1.3,92.84,136.66,1.05,3593.9,9.6,38
1495,1.5,92.47,147.4,1.09,3726.9,10.2,38.1
1496,7.2,94.14,136.53,1.11,3494.9,9.7,38.2
1497,7.2,92.18,140.23,1.07,3413.7,10,38
1498,7.3,99.14,137.17,1.11,3491.4,10.1,38.9
1499,7.4,96.66,132.23,1.08,3373.8,10,38.5
1500,7.3,90.4,143.22,1.09,3320.3,10.2,38.5
1501,7.3,90.57,132.4,1.09,3422.7,9.7,38.2
1502,7.3,94.5,142.99,1.08,3715.9,9.5,38.4
1503,7.5,90.56,144.54,1.07,3734.4,9.7,38
1504,7.4,97.18,150.44,1.07,3658.5,9.5,38
1505,7.5,91.78,141.77,1.06,3603.2,10.1,38.5
1506,7,95.73,134.63,1.05,3478.9,9.8,38.4
1507,7.5,98.84,136.52,1.08,3319.3,10.1,38.7
1508,7.5,92.81,147.23,1.1,3655.8,9.8,38.3
1509,7.3,90.45,149.97,1.11,3551.1,9.8,38.5
1510,7.4,90.76,150.64,1.11,3726.6,9.9,38.1
1511,7.2,99.72,142.72,1.05,3563.4,10,38.5
1512,7.4,90.55,149.34,1.07,3733,10.1,38.1
1513,7.2,90.59,134.4,1.06,3638.3,9.7,38.3
1514,7.2,91.32,132.98,1.08,3575.6,9.8,38.2
1515,7.5,93.54,133.66,1.11,3577.6,9.8,38.8
1516,7,92.83,135.12,1.11,3487.8,9.5,38.6
1517,7,99.87,144.78,1.08,3467.4,9.5,38.6
1518,7,98.74,150.98,1.09,3613.1,9.7,38.3
1519,7,95.37,134.94,1.05,3410.7,9.5,38.3
1520,7.5,95.37,139.41,1.07,3496.8,9.9,38.4
1521,7.3,90.71,142.28,1.05,3393.3,9.6,38.7
1522,7.1,99.97,144.36,1.05,3502.6,9.6,38.2
1523,7.3,98.42,137.51,1.05,3304.8,10.2,38.5
1524,7.1,92.47,148.34,1.09,3188.7,9.5,38.7
1525,7,90.75,146.37,1.11,3310.4,10.1,38.6
1526,7.1,92.86,141.16,1.05,3107,10,38.8
1527,7.4,98.37,148.86,1.07,3468.6,10.1,38.3
1528,7.4,90.63,132.32,1.05,3301.4,10.1,38.6
1529,7,97.63,130.89,1.07,3250.2,10.2,38.3
1530,7.2,94.47,140.55,1.09,3393.9,9.7,38
1531,7,96.58,148.98,1.07,3419.2,10.1,38.9
1532,7.1,92.67,132.55,1.09,3487.7,9.6,38.1
1533,7,94.99,149.68,1.06,3378.5,9.6,38.7
1534,7.2,92.11,131.34,1.06,3116.5,10,38.1
1535,7.1,92.45,141.17,1.07,3309.3,9.8,38.3
1536,7,90.19,144.87,1.05,3473.8,9.9,38.9
1537,7.1,98.22,133.87,1.06,3276.1,9.5,38.3
1538,7.3,90.72,137.54,1.07,3234.5,9.9,38.3
1539,7.5,95.16,135.48,1.08,3404.8,10,38.7
1540,7,92.55,137.46,1.11,3361.2,10.2,38.4
1541,7.2,92.91,133.24,1.05,3399.8,9.8,38.1
1542,7.5,98.69,135.67,1.07,3491.9,9.9,38
1543,7,95.6,132.9,1.11,3224.2,10.2,38.5
1544,7.1,90.43,134.1,1.06,3149.3,9.7,38.4
1545,7,92.59,146.82,1.1,3287.8,10,38.2
1546,7.5,98.9,136.12,1.07,3142.9,9.8,38.7
1547,7.1,93.94,140.68,1.11,3023.2,10.2,38.1
1548,7.5,97.75,144.32,1.1,3023.1,10,38.5
1549,7.1,94.51,132.46,1.07,3132.1,10,38.9
1550,7.3,91.73,135.81,1.07,3004.8,9.7,38.1
1551,7.3,95.99,144.74,1.11,3131.8,9.6,38.8
1552,7.2,94.86,141.46,1.07,3141,10.2,38.2
1553,7.3,92.84,138.46,1.05,3116.2,9.7,38.7
1554,7,99.63,133.91,1.11,3127.7,10.1,38.1
1555,7.1,92.89,142.59,1.11,3112.5,9.5,38
1556,7.1,97.77,131.31,1.1,3099.6,9.9,38.4
1557,7.4,97.97,146.54,1.09,3039.1,9.6,37.5
1558,7.1,96.4,150.44,1.1,3056.2,9.7,37.6
1559,7,97.72,145.52,1.1,3097.8,9.7,37.9
1560,7.2,99.88,131.1,1.09,3040.6,9.7,37.3
1561,7.1,96.27,146.16,1.1,3093.2,9.8,37.1
1562,7.4,90.22,147.23,1.09,3027.9,9.8,37
1563,7.1,95.82,137.8,1.06,3198.3,9.9,37.8
1564,7.2,94.95,144.91,1.1,3109.5,9.6,37
1565,7.5,91.31,140.97,1.1,3063.3,10.2,37.4
1566,7.3,98.91,139.67,1.08,3063.7,9.6,37.3
1567,7.4,90.16,139.23,1.05,3126.8,9.7,37.7
1568,7.1,94.23,145.77,1.1,3124.3,10.1,37.6
1569,7.1,95.84,150.73,1.07,3148.5,9.6,37.8
1570,7.5,92.65,147.34,1.05,3093.5,9.9,37.9
1571,7.5,93.49,146.21,1.08,3210.8,9.5,37.6
1572,7,98.27,139.32,1.07,3155.9,10,37.8
1573,7.3,95.74,139.49,1.08,3112.8,10.1,37.3
1574,7.3,91.89,131.16,1.11,3035,10.2,37
1575,7.1,92.65,131.5,1.09,3008.6,10.2,37.6
1576,7.1,90.1,137.89,1.07,3045.6,10.1,37.6
1577,7.4,95.62,132.72,1.06,3042.8,9.7,37.6
1578,7.4,92.64,138.45,1.06,3022.5,9.8,37.3
1579,7.4,96.59,142.27,1.09,3279.5,9.9,37.3
1580,7.3,96.7,137.26,1.09,3039.9,10.2,37.1
1581,7.3,92.32,134.26,1.11,3167.5,9.7,37
1582,7.1,90.64,143.68,1.11,3214,9.5,37.2
1583,7.4,92.82,149.26,1.1,3084.9,9.5,37
1584,7,98.74,133.41,1.05,3179.3,10.2,37.9
1585,7.4,99.4,143.96,1.1,3189,10.1,37.2
1586,7.4,96.39,138.18,1.1,3168,9.6,37.2
1587,7.5,93.81,141.89,1.06,3298.4,9.6,37
1588,7,93.87,130.95,1.06,3240.4,9.7,37
1589,7.3,99.58,147.65,1.09,3247.4,9.8,37.7
1590,7.2,94.32,141.63,1.08,3067.9,9.6,37
1591,7,99.41,142.89,1.09,3161.9,10.1,37.2
1592,7.1,94.69,137.55,1.1,3282.3,10.1,37.6
1593,7.5,99.6,150.63,1.05,3006.3,9.5,37.7
1594,7.4,94.57,148.55,1.07,3264.9,9.9,37.8
1595,7.5,93.42,140.31,1.1,3020.7,9.8,37.5
1596,7.5,96.28,143.13,1.09,3017.6,10,37.8
1597,7.2,98.19,148.25,1.1,3027.7,10,37.1
1598,7.3,97.51,145.42,1.05,3158,9.5,37.2
1599,7.2,96.36,140.82,1.08,3169.3,9.6,37.3
1600,7.5,97.28,140.78,1.08,3251.1,9.7,37.3
1601,7.3,95.73,134.52,1.07,3211.2,9.8,37.1
1602,7,93.21,132.42,1.08,3085.3,9.8,37.3
1603,7.2,97.87,136.81,1.07,3238.3,9.6,36.8
1604,7.1,98.38,148.51,1.08,3247.8,9.7,37.1
1605,7.4,95.84,140.55,1.06,3087.6,9.6,36.6
1606,7.2,96.66,135.97,1.08,3182.6,10,36.7
1607,7.1,95.91,144.98,1.08,3100.9,9.6,37.3
1608,7.1,90.37,148.4,1.06,3056.4,10,36.5
1609,7.5,98.32,145.88,1.08,3195.6,9.9,36.8
1610,7,92.21,147.66,1.09,2862.9,10.1,37.3
1611,7.4,93.31,141.52,1.08,2819.6,10,36.7
1612,7,90.55,143.37,1.09,3066.2,9.7,36.7
1613,7.2,98.35,135.68,1.05,2849.2,10.1,36.8
1614,7.4,93.99,146.17,1.1,2970.8,9.9,36.7
1615,7.5,97.52,142.77,1.11,3180.8,9.5,37.4
1616,7.2,92.97,145.63,1.11,2884.1,9.8,37
1617,7.5,99.76,145.67,1.06,2937,10.2,36.7
1618,7.2,96.55,134.12,1.11,2889.4,9.9,36.5
1619,7.2,97.4,145.79,1.05,2931.7,9.9,36.9
1620,7.3,99.88,146.91,1.11,3092.9,10.2,36.7
1621,7.1,92.2,150.87,1.08,3072.1,10.2,36.8
1622,7.5,95.1,148.41,1.1,3139.5,9.8,37.1
1623,7.2,90.54,138.33,1.07,3000.6,10,36.8
1624,7.3,99.57,144.26,1.1,3099.4,10,37.3
1625,7,94.78,150.63,1.07,2945.9,9.9,36.8
1626,7.1,96.24,150.34,1.1,2831.5,9.8,36.5
1627,7.1,97.47,140.52,1.06,3145.5,9.5,37
1628,7.1,90.96,148.24,1.05,2823.7,9.5,37.1
1629,7.1,91.15,147.75,1.1,3125.7,9.7,36.7
1630,7.1,95.56,150.89,1.06,2871.7,9.9,37.2
1631,7.5,91.97,133.54,1.09,3016.7,9.6,36.9
1632,7.5,91.67,137.69,1.11,2861.7,9.7,37.4
1633,7.2,96.72,149.7,1.05,3099.1,10.1,37.2
1634,7,91.26,138.19,1.1,3093.1,9.9,36.7
1635,7.5,91.1,133.4,1.06,3042.8,9.9,37.2
1636,7,97.72,143.7,1.05,3147.7,10.1,36.5
1637,7.4,94.25,141.28,1.07,3181.2,9.6,37
1638,7.5,90.78,130.79,1.09,3160,9.8,37.1
1639,7.4,99.27,142.3,1.09,3117.3,10.2,37.3
1640,7.3,94.21,140.66,1.09,3085.4,10.1,37.2
1641,7.1,98.38,146.37,1.07,3051.6,10.2,37.2
1642,7,92.95,149.11,1.08,3126.6,10.1,37.2
1643,7.2,91.75,134.35,1.06,2879.3,9.9,37
1644,7.1,91.23,130.67,1.08,2913.4,9.6,36.6
1645,7.4,97.69,143.46,1.1,3018,9.5,37.2
1646,7.5,98.56,145.86,1.06,3031.1,9.5,36.8
1647,7.5,96.53,150.97,1.1,3072.1,9.7,37
1648,7.5,94.63,130.15,1.05,3196.4,9.8,37
1649,7,95.24,135.18,1.08,3030.4,9.7,37.4
1650,7.1,95.44,145.88,1.11,2814.5,9.6,37
1651,7,93.28,145.37,1.06,2858.9,9.7,37.4
1652,7.2,98.84,139.84,1.1,2918.8,10.2,37.4
1653,7.3,93.14,130.53,1.08,2820.2,9.5,37.1
1654,7.5,92.34,146.22,1.09,2983.2,10.2,37.1
1655,7.3,96.72,140.84,1.08,2938.3,10.1,37
1656,7.3,98.8,148.45,1.09,2739.5,9.9,36.7
1657,7.1,91.9,133.29,1.09,2992.4,10.2,37.4
1658,7.4,95.33,144.85,1.08,2889.1,9.7,36.8
1659,7.1,99.14,136.95,1.1,2947.2,10.2,36.8
1660,7.5,90.84,140.94,1.07,2740,9.7,36.6
1661,7.3,99.37,133.53,1.06,2711.9,9.7,36.9
1662,7,94.22,130.62,1.1,2901.3,10.1,36.8
1663,7.3,94.24,145.14,1.09,2875,10.2,36.9
1664,7.5,94.39,140.26,1.05,2889.9,9.8,36.6
1665,7.1,93.72,136.6,1.06,2973.4,9.5,37.1
1666,7.2,99.41,140.23,1.07,2887.9,10.1,37.2
1667,7.4,90.17,148.81,1.11,2819.3,9.8,37
1668,7.4,96.38,142.56,1.07,2882.6,10.2,37
1669,7.1,94.59,138.19,1.11,2951.5,9.8,37.4
1670,7,94.97,147.24,1.1,2786.7,9.5,37.4
1671,7,98.12,149.57,1.1,2735.3,10.2,36.7
1672,7.3,95.82,138.98,1.07,2960.5,9.7,36.8
1673,7.5,92.44,150.96,1.07,2941.2,10.2,37.3
1674,7.5,90.22,143.54,1.11,2741.4,9.6,37
1675,7.3,99.58,148.33,1.08,2725.6,9.5,37.4
1676,7.1,91.27,139.8,1.09,2865.9,9.5,36.9
1677,7,99.18,139.55,1.1,2769.9,9.5,36.7
1678,7.5,93.2,150.33,1.06,2908.4,9.9,36.5
1679,7,91.41,135.84,1.06,2910.8,9.5,36.9
1680,7.2,97.73,146.81,1.1,2915.5,9.5,37
1681,7,95.25,147.86,1.07,2939,9.5,36.7
1682,7.2,91.2,138.39,1.05,2736.7,10.2,37.2
1683,7,94.65,139.72,1.1,2737.3,9.7,36.7
1684,7.5,94.49,130.8,1.09,2862,10.2,36.7
1685,7.1,98.11,148.37,1.07,2986.6,10,37.2
1686,7.3,92.65,149.93,1.11,2929.5,10,36.9
1687,7.3,99.94,135.82,1.06,2859.5,10.2,36.6
1688,7.4,99.91,135.15,1.07,2899.2,9.9,36.5
1689,7.5,94.63,146.63,1.06,2782.5,9.8,37.1
1690,7.1,96.6,140.69,1.08,2907.6,9.9,36.7
1691,7.1,99.28,148.49,1.11,2935.5,9.5,36.5
1692,7.2,99.65,138.46,1.05,2861.6,9.9,37.1
1693,7,97.79,141.83,1.07,2937.1,10.1,36.8
1694,7.2,97.99,133.68,1.11,2717.5,9.8,36.2
1695,7.1,90.47,140.55,1.05,2748.8,9.8,36.5
1696,7.1,94.67,144.93,1.08,2967.2,9.8,36.9
1697,7.2,93.84,136.12,1.11,2828.1,9.5,36.5
1698,7.4,93.55,150.55,1.11,2753.4,9.8,36
1699,7.5,99.51,143.26,1.07,2808.8,10.2,36.7
1700,7.2,94.3,132.42,1.1,2846,10.2,36.3
1701,7.2,91.23,140.84,1.05,2750.9,10,36.5
1702,7.2,93.9,144.33,1.1,2896,9.7,36.3
1703,7.2,90.57,141.73,1.08,2901.8,9.6,36.6
1704,7,91.7,150.29,1.06,2736.1,10.2,36.4
1705,7.2,97.88,144.51,1.08,2907.4,9.5,36.7
1706,7,99.13,141.5,1.07,2967.8,9.8,36.3
1707,7.2,98.29,148.35,1.05,2804,9.7,36.6
1708,7.3,95.6,137.38,1.07,2814.7,9.6,36.2
1709,7.3,93.68,142.28,1.1,2735.1,10.2,36.6
1710,7.1,90.93,149.25,1.11,2971,9.9,36.9
1711,7.3,92.9,150.33,1.1,2817.7,9.9,36.8
1712,7,96.98,131.86,1.1,2927.9,9.5,36.4
1713,7.5,95.34,144.43,1.07,2767.5,9.5,36.1
1714,7.4,96.74,143.65,1.1,2969.4,9.7,36
1715,7.5,93.88,135.63,1.1,2844.8,9.5,36.1
1716,7.2,94.76,132.31,1.05,2760.9,9.5,36.3
1717,7,93.49,132.53,1.1,2992.7,10,36
1718,7.3,93.81,146.18,1.07,2832.3,9.8,36.2
1719,7,94.82,147.47,1.09,2741.8,10.1,36.1
1720,7,99.27,145.12,1.1,2952.2,10.1,36.3
1721,7,97.44,135.66,1.05,2823.8,9.8,36.9
1722,7.2,97.49,139.75,1.08,3001.9,9.8,36.5
1723,7.5,91.36,150.88,1.07,2843.9,9.7,36.1
1724,7,99.89,139.32,1.1,2805.3,9.8,36.1
1725,7.2,94.34,146.81,1.1,2775.6,10,36.9
1726,7.3,97.26,148.68,1.1,2983.4,10.2,36.5
1727,7,90.44,135.6,1.08,2978.1,9.7,36.3
1728,7,97.4,132.7,1.09,2941.6,10.1,36.2
1729,7.3,97.1,149.59,1.07,2797.3,10,36.2
1730,7.1,99.29,150.89,1.06,2792.5,10,36.2
1731,7,91.95,135.43,1.11,2906.4,10.1,36.1
1732,7.2,93.12,146.99,1.05,2726.9,10.2,36.5
1733,7.3,96.9,138.72,1.11,2926.9,9.7,36.4
1734,7.2,95.86,148.66,1.07,2987.9,9.8,36.2
1735,7.4,93.7,139.88,1.1,2773.8,10.2,36.3
1736,7,96.81,139.86,1.08,2957.9,10.1,36.9
1737,7.1,97.22,132.18,1.06,2757.1,9.7,36.1
1738,7.3,91.1,130.79,1.09,2824.4,9.9,36.4
1739,7.3,92.88,134.57,1.05,2724.7,9.5,36.5
1740,7.5,94.89,134.91,1.06,2955.3,10,36.4
1741,7.4,98.13,148.78,1.11,2992,9.9,36.9
1742,7.3,95.8,144.98,1.07,2753.9,9.6,36.8
1743,7.5,91.12,131.22,1.07,2915,9.8,36.2
1744,7.4,91.38,137.39,1.11,2714.9,10.2,36.9
1745,7.5,93.82,146.42,1.11,2882.6,9.7,36.1
1746,7.1,99.28,143.49,1.11,2830.1,10.2,36
1747,7.3,92.12,130.98,1.07,2946.1,9.7,36.2
1748,7.4,92.15,136.69,1.05,2806.2,9.7,36.3
1749,7.5,92.16,139.21,1.08,2774.6,9.8,36.9
1750,7.2,99.91,148.22,1.1,2985.2,10.2,36.1
1751,7.3,95.63,147.1,1.08,2921,10,36
1752,7.4,91.98,150.89,1.05,2958.2,9.6,36.9
1753,7.4,97.92,146.96,1.08,2856.7,10.2,36.2
1754,7.3,96.73,142.4,1.06,2916.4,10,36.1
1755,7.2,93.57,150.55,1.05,2883.7,10.2,36.6
1756,7.3,94.81,138.19,1.11,2857.2,9.7,36
1757,7.1,95.69,135.15,1.08,2742.2,9.8,36.6
1758,7,90.45,143.31,1.06,2714.1,9.9,36.4
1759,7.4,91.16,136.79,1.09,2719.8,10.1,36.1
1760,7.1,92.23,136.89,1.11,2971.5,9.6,36
1761,7.4,91.3,143.5,1.1,2824.4,9.5,36.1
1762,7.2,91.61,131.41,1.06,2909.3,10.2,36
1763,7.4,99.3,139.31,1.07,2833.3,9.7,36.3
1764,7,90.11,150.65,1.1,2756,9.6,36.6
1765,7.3,94.37,144.52,1.1,2960.5,9.7,36.2
1766,7,97.98,134.59,1.05,2815.8,10.2,36.6
1767,7.3,94.33,139.88,1.05,2781.7,9.5,36.6
1768,7.1,90.55,133.5,1.09,2897.9,9.8,36.3
1769,7,95.8,141.43,1.11,2831.2,9.5,36.2
1770,7.5,96.63,150.73,1.08,2862,10.1,36.2
1771,7.5,94.86,148.6,1.1,2787.9,10.2,36.1
1772,7.3,91.24,148.29,1.11,2927.5,9.7,36.8
1773,7,90.45,139.45,1.07,2924.4,9.9,36.6
1774,7.1,99.74,140.82,1.1,2994,9.6,36.7
1775,7.3,98.77,140.24,1.06,2832.5,10.2,36.4
1776,7.3,94.25,145.21,1.08,2833.8,10.2,36.6
